anion,T,theta,theta_se,soft_ts,hard_ts
fsi,298,0.108358,0.012335,54179,445821
fsi,353,0.143234,0.009164,71617,428383
fsi,373,0.15791,0.00477,78961,421078
fsi,423,0.182062,0.002611,91037,408997
tfsi,298,0.061198,0.012516,30605,469495
tfsi,353,0.082744,0.006702,41372,458628
tfsi,373,0.092852,0.00902,46426,453574
tfsi,423,0.11751,0.003912,58755,441245
beti,298,0.053234,0.022709,26617,473383
beti,353,0.071108,0.008261,35570,464655
beti,373,0.079672,0.005433,39836,460164
beti,423,0.107608,0.004503,53817,446304
