anion,T,theta,theta_se,D_soft_A2ps,D_soft_se,D_hard_A2ps,D_hard_se,D_total_A2ps,D_total_se
fsi,298,0.108358,0.012335,1.068816e-03,9.32e-05,4.348667e-04,7.16e-06,5.035602e-04,1.06e-07
fsi,353,0.143234,0.009164,8.353039e-03,4.74e-04,4.250088e-03,6.59e-05,4.837770e-03,1.06e-06
fsi,373,0.157910,0.004770,1.195811e-02,6.37e-04,5.248112e-03,1.13e-04,6.307688e-03,1.51e-06
fsi,423,0.182062,0.002611,3.182108e-02,2.36e-03,1.388748e-02,5.22e-04,1.715251e-02,1.98e-06
tfsi,298,0.061198,0.012516,2.859189e-03,4.96e-04,4.360185e-04,9.67e-07,5.843117e-04,1.12e-07
tfsi,353,0.082744,0.006702,1.807191e-02,1.24e-03,2.854774e-03,1.29e-05,4.113901e-03,5.19e-07
tfsi,373,0.092852,0.009020,5.284762e-03,2.96e-04,5.148624e-03,3.02e-05,5.161265e-03,9.01e-07
tfsi,423,0.117510,0.003912,2.261516e-02,7.33e-04,1.113039e-02,8.33e-05,1.247997e-02,1.95e-06
beti,298,0.053234,0.022709,4.186198e-04,1.48e-04,7.131909e-05,2.85e-07,8.980729e-05,2.65e-08
beti,353,0.071108,0.008261,2.132020e-03,4.02e-04,1.172703e-03,2.95e-05,1.240918e-03,1.49e-07
beti,373,0.079672,0.005433,6.732508e-03,4.18e-04,2.148200e-03,2.41e-05,2.513441e-03,2.34e-07
beti,423,0.107608,0.004503,3.842003e-02,1.52e-03,5.715627e-03,7.94e-05,9.234882e-03,1.12e-06
